출발지,도착지,날짜,출발시간,도착시간,항공편,총 소요 시간,가격,좌석등급,Monthly,Weekend
1.0,3.0,2023-08-20,14,16,0,120,169200,economy,8,6
1.0,3.0,2023-08-20,8,9,0,110,175900,economy,8,6
1.0,3.0,2023-08-20,12,14,0,110,175900,economy,8,6
1.0,3.0,2023-08-20,13,15,0,110,181800,economy,8,6
1.0,3.0,2023-08-20,13,15,0,110,188900,economy,8,6
1.0,3.0,2023-08-20,14,16,0,115,188900,economy,8,6
1.0,3.0,2023-08-20,13,15,0,120,189200,economy,8,6
1.0,3.0,2023-08-20,7,9,0,110,189200,economy,8,6
1.0,3.0,2023-08-20,15,17,0,110,191400,economy,8,6
1.0,3.0,2023-08-20,13,15,0,110,191400,economy,8,6
1.0,3.0,2023-08-20,15,17,0,100,192400,economy,8,6
1.0,3.0,2023-08-20,7,9,0,110,200500,economy,8,6
1.0,3.0,2023-08-20,7,9,0,115,216000,economy,8,6
1.0,3.0,2023-08-20,16,18,0,110,216000,economy,8,6
1.0,3.0,2023-08-20,9,11,0,110,219200,economy,8,6
1.0,3.0,2023-08-20,9,11,0,110,220200,economy,8,6
1.0,3.0,2023-08-20,8,9,0,105,232400,economy,8,6
1.0,3.0,2023-08-20,14,15,0,105,232400,economy,8,6
1.0,3.0,2023-08-20,10,12,0,110,238000,economy,8,6
1.0,3.0,2023-08-20,9,11,0,105,241000,economy,8,6
1.0,3.0,2023-08-20,19,21,0,105,279000,economy,8,6
1.0,3.0,2023-08-20,17,18,0,110,310000,economy,8,6
1.0,3.0,2023-08-20,15,17,0,115,332800,economy,8,6
1.0,3.0,2023-08-20,18,21,0,125,332800,economy,8,6
1.0,3.0,2023-08-20,18,21,0,125,365500,economy,8,6
1.0,3.0,2023-08-20,15,17,0,115,365500,economy,8,6
1.0,3.0,2023-08-20,9,11,0,105,365500,economy,8,6
1.0,3.0,2023-08-20,14,15,0,105,366000,economy,8,6
1.0,3.0,2023-08-20,8,9,0,105,366000,economy,8,6
1.0,3.0,2023-08-20,19,21,0,105,366000,economy,8,6
1.0,3.0,2023-08-20,6,7,1,1525,445200,economy,8,6
1.0,3.0,2023-08-20,6,14,1,1925,445200,economy,8,6
1.0,3.0,2023-08-20,11,7,1,1245,453200,economy,8,6
1.0,3.0,2023-08-20,11,14,1,1645,453200,economy,8,6
1.0,3.0,2023-08-20,6,8,1,1545,463300,economy,8,6
1.0,3.0,2023-08-20,11,8,1,1250,468300,economy,8,6
1.0,3.0,2023-08-20,21,18,1,1300,500600,economy,8,6
1.0,3.0,2023-08-20,13,17,1,1665,579200,economy,8,6
1.0,3.0,2023-08-20,21,8,1,660,604300,economy,8,6
1.0,3.0,2023-08-20,11,18,1,430,623600,economy,8,6
1.0,3.0,2023-08-20,21,8,1,705,649500,economy,8,6
1.0,3.0,2023-08-20,18,8,1,820,690300,economy,8,6
1.0,3.0,2023-08-20,9,22,1,790,690300,economy,8,6
1.0,3.0,2023-08-20,12,13,1,1465,724500,economy,8,6
1.0,3.0,2023-08-20,12,21,1,485,724500,economy,8,6
1.0,3.0,2023-08-20,9,19,1,630,735500,economy,8,6
1.0,3.0,2023-08-20,18,8,1,865,735500,economy,8,6
1.0,3.0,2023-08-20,9,17,1,535,735500,economy,8,6
1.0,3.0,2023-08-20,9,16,1,465,735500,economy,8,6
1.0,3.0,2023-08-20,9,22,1,800,741800,economy,8,6
