호텔명,입실,퇴실,지역,숙박유형,별점,등급,가격
게이오 플라자 호텔 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.6,4성급,299676
라젠트 스테이 삿포로 오도리 홋카이도,2023-07-25,2023-07-26,삿포로,호텔,8.7,3성급,182711
호텔 그레이스리 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.1,3성급,125629
삿포로 그랜드 호텔,2023-07-25,2023-07-26,삿포로,호텔,8.3,4성급,186283
로이톤 삿포로 호텔,2023-07-25,2023-07-26,삿포로,호텔,8.0,4성급,142069
호텔 포르자 삿포르 스테이션,2023-07-25,2023-07-26,삿포로,호텔,9.3,3성급,155065
베스트 웨스턴 삿포로 오도리-코엔,2023-07-25,2023-07-26,삿포로,호텔,8.5,3성급,131794
호텔 마이스테이스 삿포로 스테이션,2023-07-25,2023-07-26,삿포로,호텔,8.1,3성급,154083
네스트 호텔 삿포로 에키마에,2023-07-25,2023-07-26,삿포로,호텔,7.0,3성급,114787
미쓰이 가든 호텔 삿포로 웨스트,2023-07-25,2023-07-26,삿포로,호텔,8.8,3성급,202563
JR 이스트 호텔 멧츠 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.9,3성급,272596
호텔 몬토레 에델호프 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.2,4성급,172680
프리미어 호텔 나카지마 파크 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.2,4성급,181058
퀸테사 호텔 삿포로 스스키노,2023-07-25,2023-07-26,삿포로,호텔,8.4,3성급,112742
카락사 호텔 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.7,3성급,228083
삿포로 뷰 호텔 우도리 코우엔,2023-07-25,2023-07-26,삿포로,호텔,8.1,4성급,119970
게이오 프렐리아 호텔 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.8,3성급,206588
도미인 프리미엄 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.3,3성급,137173
피노 호텔 삿포로 오도리,2023-07-25,2023-07-26,삿포로,호텔,8.4,2성급,162847
미츠이 가든 호텔 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.2,3성급,155067
리치먼드 호텔 삿포로 오도리,2023-07-25,2023-07-26,삿포로,호텔,8.2,3성급,125011
호텔 마이스테이스 삿포로 아스펜,2023-07-25,2023-07-26,삿포로,호텔,8.3,4성급,171747
베셀 호텔 캄파나 스스키노,2023-07-25,2023-07-26,삿포로,호텔,9.1,3성급,109604
호텔 에미시아 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.1,4성급,187168
호텔 마이스테이스 프리미어 삿포로 파크,2023-07-25,2023-07-26,삿포로,호텔,8.1,4성급,132223
쇼게츠 그랜드 호텔,2023-07-25,2023-07-26,삿포로,호텔,8.7,4성급,331938
컴포트 호텔 삿포로 스스키노,2023-07-25,2023-07-26,삿포로,호텔,8.6,2성급,189004
호텔 윙 인터내셔널 삿포로 스스키노,2023-07-25,2023-07-26,삿포로,호텔,8.5,3성급,171677
이비스 스타일스 삿포로,2023-07-25,2023-07-26,삿포로,호텔,8.7,3성급,221870
