호텔명,입실,퇴실,지역,숙박유형,별점,등급,가격
신주쿠 워싱턴 호텔 도쿄 메인,2023-09-01,2023-09-02,도쿄,호텔,7.4,3성급,89677
호텔 그레이스리 신주쿠,2023-09-01,2023-09-02,도쿄,호텔,8.6,4성급,142305
호텔 그레이스리 긴자,2023-09-01,2023-09-02,도쿄,호텔,8.2,4성급,97923
포 시즌스 호텔 도쿄 앳 오테마치,2023-09-01,2023-09-02,도쿄,호텔,9.0,5성급,976200
게이오 플라자 호텔 도쿄,2023-09-01,2023-09-02,도쿄,호텔,8.4,4성급,190251
온센 료칸 유엔 신주쿠,2023-09-01,2023-09-02,도쿄,호텔,8.6,3성급,107035
파크 하얏트 도쿄,2023-09-01,2023-09-02,도쿄,호텔,9.1,5성급,975850
더 아오야마 그랜드 호텔,2023-09-01,2023-09-02,도쿄,호텔,9.1,4성급,490474
호텔 알라만다 아오야마 도쿄,2023-09-01,2023-09-02,도쿄,호텔,8.5,5성급,256514
토부 호텔 레반트 도쿄,2023-09-01,2023-09-02,도쿄,호텔,8.8,4성급,115091
임페리얼 호텔 도쿄,2023-09-01,2023-09-02,도쿄,호텔,9.0,5성급,413517
JR-이스트 호텔 메츠 시부야,2023-09-01,2023-09-02,도쿄,호텔,8.4,3성급,192292
도쿄 프린스 호텔,2023-09-01,2023-09-02,도쿄,호텔,8.5,4성급,139354
쉐라톤 그랜드 도쿄 베이 호텔,2023-09-01,2023-09-02,도쿄,호텔,8.0,5성급,259354
하얏트 센트릭 긴자 도쿄,2023-09-01,2023-09-02,도쿄,호텔,8.8,4성급,552213
다이이치 호텔 도쿄,2023-09-01,2023-09-02,도쿄,호텔,8.8,4성급,201924
신주쿠 그란벨 호텔,2023-09-01,2023-09-02,도쿄,호텔,7.9,4성급,86977
렘 롯폰기,2023-09-01,2023-09-02,도쿄,호텔,8.6,3성급,104825
시부야 토부 호텔,2023-09-01,2023-09-02,도쿄,호텔,8.0,3성급,89821
세를리안 타워 도큐 호텔 아 팬 퍼시픽 파트너 호텔,2023-09-01,2023-09-02,도쿄,호텔,8.7,5성급,323331
더 스퀘어 호텔 긴자,2023-09-01,2023-09-02,도쿄,호텔,8.4,3성급,151346
오다큐 호텔 센츄리 서던 타워 호텔,2023-09-01,2023-09-02,도쿄,호텔,8.8,4성급,154583
시부야 엑셀 호텔 도큐,2023-09-01,2023-09-02,도쿄,호텔,8.5,4성급,166775
호텔 진잔소 도쿄,2023-09-01,2023-09-02,도쿄,호텔,9.2,5성급,311848
미츠이 가든 호텔 시오도메 이탈리아가이,2023-09-01,2023-09-02,도쿄,호텔,8.4,3성급,115228
아키하바라 워싱턴 호텔,2023-09-01,2023-09-02,도쿄,호텔,8.3,3성급,66902
시퀀스 미야시타 파크/ 시부야,2023-09-01,2023-09-02,도쿄,호텔,8.4,4성급,160159
선샤인 시티 프린스 호텔 이케부쿠로,2023-09-01,2023-09-02,도쿄,호텔,8.2,4성급,107805
호텔 빌라 폰테누 그랜드 도쿄-시오도메,2023-09-01,2023-09-02,도쿄,호텔,8.2,3성급,97586
다이이치 인 이케부쿠로,2023-09-01,2023-09-02,도쿄,호텔,7.8,3성급,74588
도큐스테이 신주쿠,2023-09-01,2023-09-02,도쿄,호텔,8.5,3성급,113701
E 호텔 히가시 신주쿠,2023-09-01,2023-09-02,도쿄,호텔,7.4,3성급,93628
신주쿠 프린스 호텔,2023-09-01,2023-09-02,도쿄,호텔,7.9,3성급,185975
호텔 메트로폴리탄 도쿄 이케부쿠로,2023-09-01,2023-09-02,도쿄,호텔,8.6,4성급,107479
호텔 몬토레 긴자,2023-09-01,2023-09-02,도쿄,호텔,8.2,4성급,113210
시타딘 센트럴 신주쿠 도쿄,2023-09-01,2023-09-02,도쿄,호텔,8.1,3성급,162432
호텔 선루트 플라자 신주쿠,2023-09-01,2023-09-02,도쿄,호텔,8.3,3성급,152148
더 프린스 파크 타워 도쿄,2023-09-01,2023-09-02,도쿄,호텔,8.9,5성급,254000
다이와 로이넷 호텔 니시-신주쿠,2023-09-01,2023-09-02,도쿄,호텔,8.9,3성급,122312
도쿄 베이 아리아케 워싱턴 호텔,2023-09-01,2023-09-02,도쿄,호텔,7.6,3성급,47521
시나가와 프린스 호텔,2023-09-01,2023-09-02,도쿄,호텔,8.0,3성급,129527
시부야 스트림 엑셀 호텔 도큐,2023-09-01,2023-09-02,도쿄,호텔,8.8,4성급,290098
베스트 웨스턴 호텔 피노 도쿄 아카사카,2023-09-01,2023-09-02,도쿄,호텔,8.2,3성급,133283
후타코다마가와 엑셀 호텔 도큐,2023-09-01,2023-09-02,도쿄,호텔,8.1,3성급,96392
게이오 프레소 인 하마마쓰초,2023-09-01,2023-09-02,도쿄,호텔,8.2,3성급,81659
그랜드 닛코 도쿄 다이바,2023-09-01,2023-09-02,도쿄,호텔,8.8,4성급,175777
도쿄 돔 호텔,2023-09-01,2023-09-02,도쿄,호텔,8.6,4성급,101387
도미인 아키하바라,2023-09-01,2023-09-02,도쿄,호텔,8.4,3성급,104659
수퍼 호텔 프리미어 긴자,2023-09-01,2023-09-02,도쿄,호텔,8.5,3성급,119310
도큐스테이 긴자,2023-09-01,2023-09-02,도쿄,호텔,8.5,3성급,113503
호텔 뉴 오타니 도쿄 더 메인,2023-09-01,2023-09-02,도쿄,호텔,8.5,5성급,220425
소테츠 프레사 인 긴자 나나초메,2023-09-01,2023-09-02,도쿄,호텔,8.2,3성급,93986
베스포크 호텔 신주쿠,2023-09-01,2023-09-02,도쿄,호텔,8.6,3성급,174175
칸데오 호텔 도쿄 신바시,2023-09-01,2023-09-02,도쿄,호텔,8.1,4성급,128782
노가 호텔 우에노,2023-09-01,2023-09-02,도쿄,호텔,8.9,4성급,175016
